"","YEAR","INJURY","AUTOMOBILE","ALCOHOL"
"1",2006,"Major","Yes","Yes"
"2",2006,"Minor","Yes","Yes"
"3",2006,"Minor","Yes","Yes"
"4",2006,"Minor","Yes","Yes"
"5",2006,"Minor","Yes","Yes"
"6",2006,"Minor","Yes","Yes"
"7",2006,"None","Yes","Yes"
"8",2006,"None","Yes","Yes"
"9",2006,"Major","Yes","Yes"
"10",2006,"Minor","Yes","Yes"
"11",2006,"Major","Yes","Yes"
"12",2006,"None","Yes","Yes"
"13",2006,"None","Yes","Yes"
"14",2006,"Major","Yes","Yes"
"15",2006,"None","Yes","Yes"
"16",2006,"Minor","Yes","Yes"
"17",2006,"None","Yes","Yes"
"18",2006,"None","Yes","Yes"
"19",2006,"Minor","Yes","Yes"
"20",2006,"Minor","Yes","Yes"
"21",2006,"Major","Yes","Yes"
"22",2006,"Minor","Yes","Yes"
"23",2006,"Minor","Yes","Yes"
"24",2006,"Minor","Yes","Yes"
"25",2006,"None","Yes","Yes"
"26",2006,"Minor","Yes","Yes"
"27",2006,"Minor","Yes","Yes"
"28",2006,"None","Yes","Yes"
"29",2006,"Fatal","Yes","Yes"
"30",2006,"None","Yes","Yes"
"31",2006,"Major","Yes","Yes"
"32",2006,"None","Yes","Yes"
"33",2006,"Major","Yes","Yes"
"34",2006,"Major","Yes","Yes"
"35",2006,"None","Yes","Yes"
"36",2006,"None","Yes","Yes"
"37",2006,"Fatal","Yes","Yes"
"38",2006,"Minor","Yes","Yes"
"39",2006,"Minor","Yes","Yes"
"40",2006,"None","Yes","Yes"
"41",2006,"Minor","Yes","Yes"
"42",2006,"None","Yes","Yes"
"43",2006,"None","Yes","Yes"
"44",2006,"None","Yes","Yes"
"45",2006,"Major","Yes","Yes"
"46",2006,"None","Yes","Yes"
"47",2006,"Major","Yes","Yes"
"48",2006,"Major","Yes","Yes"
"49",2006,"Minor","Yes","Yes"
"50",2006,"None","Yes","Yes"
"51",2006,"Minor","Yes","Yes"
"52",2006,"None","Yes","Yes"
"53",2006,"Major","Yes","Yes"
"54",2006,"Major","Yes","Yes"
"55",2006,"None","Yes","Yes"
"56",2006,"None","Yes","Yes"
"57",2006,"Minor","Yes","Yes"
"58",2006,"Major","Yes","Yes"
"59",2006,"Minor","Yes","Yes"
"60",2006,"None","Yes","Yes"
"61",2006,"None","Yes","Yes"
"62",2006,"Minor","Yes","Yes"
"63",2006,"Major","Yes","Yes"
"64",2006,"Major","Yes","Yes"
"65",2006,"None","Yes","Yes"
"66",2006,"Minor","Yes","Yes"
"67",2006,"None","Yes","Yes"
"68",2006,"Minor","Yes","Yes"
"69",2006,"Minor","Yes","Yes"
"70",2006,"Major","Yes","Yes"
"71",2006,"Major","Yes","Yes"
"72",2006,"None","Yes","Yes"
"73",2006,"None","Yes","Yes"
"74",2006,"Minor","Yes","Yes"
"75",2007,"None","Yes","Yes"
"76",2007,"Major","Yes","Yes"
"77",2007,"Minimal","Yes","Yes"
"78",2007,"None","Yes","Yes"
"79",2007,"None","Yes","Yes"
"80",2007,"None","Yes","Yes"
"81",2007,"None","Yes","Yes"
"82",2007,"Fatal","Yes","Yes"
"83",2007,"None","Yes","Yes"
"84",2007,"None","Yes","Yes"
"85",2007,"None","Yes","Yes"
"86",2007,"Major","Yes","Yes"
"87",2007,"None","Yes","Yes"
"88",2007,"None","Yes","Yes"
"89",2007,"None","Yes","Yes"
"90",2006,"Minor","Yes","Yes"
"91",2006,"Major","Yes","Yes"
"92",2006,"Major","Yes","Yes"
"93",2006,"None","Yes","Yes"
"94",2006,"Minor","Yes","Yes"
"95",2006,"Major","Yes","Yes"
"96",2007,"None","Yes","Yes"
"97",2007,"None","Yes","Yes"
"98",2007,"Major","Yes","Yes"
"99",2007,"None","Yes","Yes"
"100",2007,"Minor","Yes","Yes"
"101",2007,"Minor","Yes","Yes"
"102",2007,"None","Yes","Yes"
"103",2007,"Major","Yes","Yes"
"104",2006,"None","Yes","Yes"
"105",2006,"Major","Yes","Yes"
"106",2006,"Minimal","Yes","Yes"
"107",2006,"Minimal","Yes","Yes"
"108",2006,"Minimal","Yes","Yes"
"109",2006,"Major","Yes","Yes"
"110",2006,"Minor","Yes","Yes"
"111",2006,"None","Yes","Yes"
"112",2006,"None","Yes","Yes"
"113",2006,"None","Yes","Yes"
"114",2006,"None","Yes","Yes"
"115",2006,"None","Yes","Yes"
"116",2006,"Major","Yes","Yes"
"117",2006,"Major","Yes","Yes"
"118",2006,"Major","Yes","Yes"
"119",2007,"Fatal","Yes","Yes"
"120",2007,"Minor","Yes","Yes"
"121",2007,"None","Yes","Yes"
"122",2007,"Minor","Yes","Yes"
"123",2007,"None","Yes","Yes"
"124",2007,"None","Yes","Yes"
"125",2007,"Minor","Yes","Yes"
"126",2007,"Minor","Yes","Yes"
"127",2007,"Major","Yes","Yes"
"128",2007,"None","Yes","Yes"
"129",2007,"None","Yes","Yes"
"130",2007,"None","Yes","Yes"
"131",2007,"None","Yes","Yes"
"132",2007,"Major","Yes","Yes"
"133",2007,"Minimal","Yes","Yes"
"134",2007,"Major","Yes","Yes"
"135",2007,"None","Yes","Yes"
"136",2007,"Fatal","Yes","Yes"
"137",2007,"Fatal","Yes","Yes"
"138",2007,"None","Yes","Yes"
"139",2007,"Major","Yes","Yes"
"140",2007,"None","Yes","Yes"
"141",2007,"None","Yes","Yes"
"142",2007,"None","Yes","Yes"
"143",2007,"None","Yes","Yes"
"144",2007,"None","Yes","Yes"
"145",2007,"None","Yes","Yes"
"146",2007,"Major","Yes","Yes"
"147",2007,"None","Yes","Yes"
"148",2007,"Major","Yes","Yes"
"149",2008,"Major","Yes","Yes"
"150",2008,"Major","Yes","Yes"
"151",2008,"None","Yes","Yes"
"152",2008,"Major","Yes","Yes"
"153",2007,"None","Yes","Yes"
"154",2007,"Major","Yes","Yes"
"155",2007,"Fatal","Yes","Yes"
"156",2007,"Minor","Yes","Yes"
"157",2007,"Minor","Yes","Yes"
"158",2007,"Major","Yes","Yes"
"159",2007,"None","Yes","Yes"
"160",2007,"Minimal","Yes","Yes"
"161",2007,"None","Yes","Yes"
"162",2007,"None","Yes","Yes"
"163",2007,"Major","Yes","Yes"
"164",2007,"None","Yes","Yes"
"165",2007,"Minimal","Yes","Yes"
"166",2007,"None","Yes","Yes"
"167",2007,"None","Yes","Yes"
"168",2007,"Minimal","Yes","Yes"
"169",2007,"Minimal","Yes","Yes"
"170",2007,"Major","Yes","Yes"
"171",2007,"None","Yes","Yes"
"172",2007,"None","Yes","Yes"
"173",2007,"None","Yes","Yes"
"174",2007,"None","Yes","Yes"
"175",2007,"Major","Yes","Yes"
"176",2007,"Major","Yes","Yes"
"177",2007,"None","Yes","Yes"
"178",2007,"None","Yes","Yes"
"179",2007,"Major","Yes","Yes"
"180",2007,"None","Yes","Yes"
"181",2007,"None","Yes","Yes"
"182",2007,"Minimal","Yes","Yes"
"183",2008,"Minor","Yes","Yes"
"184",2008,"None","Yes","Yes"
"185",2008,"None","Yes","Yes"
"186",2008,"None","Yes","Yes"
"187",2008,"Major","Yes","Yes"
"188",2008,"Fatal","Yes","Yes"
"189",2008,"Minor","Yes","Yes"
"190",2008,"Minor","Yes","Yes"
"191",2008,"Major","Yes","Yes"
"192",2008,"Major","Yes","Yes"
"193",2008,"Major","Yes","Yes"
"194",2008,"Minor","Yes","Yes"
"195",2008,"None","Yes","Yes"
"196",2008,"Major","Yes","Yes"
"197",2008,"Minimal","Yes","Yes"
"198",2008,"Minimal","Yes","Yes"
"199",2008,"None","Yes","Yes"
"200",2008,"None","Yes","Yes"
"201",2008,"Fatal","Yes","Yes"
"202",2008,"None","Yes","Yes"
"203",2008,"Major","Yes","Yes"
